# Apworld manifest — downloaded into the generator image's custom_worlds/ at build time
# by scripts/fetch_apworlds.py (see Dockerfile.generator). No .apworld binaries are
# vendored in the repo.
#
# GENERATED by scripts/refresh_from_sheet.py from the community spreadsheet. Hand edits are
# allowed but will be overwritten on the next refresh; pin/override entries deliberately.
#
# Columns: name,url,sha256
#   DEFAULT = latest (releases/latest/download). To pin when an upstream release breaks,
#   swap the url to a tagged release and add its sha256.
name,url,sha256
mml,https://github.com/functorial/MMLAP/releases/download/v0.2.6/mml.apworld,
mmx3,https://github.com/TheLX5/Archipelago/releases/latest/download/mmx3.apworld,
mmx4,https://github.com/Daxtear/ArchipelagoMMX4/releases/latest/download/mmx4.apworld,
mmzero3,https://github.com/brodieberger/MMZero3Archipelago/releases/latest/download/mmzero3.apworld,
momodoramoonlitfarewell,https://github.com/alditoOt/Momodora-Moonlit-Farewell-Randomizer/releases/latest/download/momodoramoonlitfarewell.apworld,
monster_sanctuary,https://github.com/Gtaray/archipelago-monstersanctuary/releases/latest/download/monster_sanctuary.apworld,
mpadv,https://github.com/etherware-novice/candypelago/releases/latest/download/mpadv.apworld,
mzm,https://github.com/lilDavid/Archipelago-Metroid-Zero-Mission/releases/latest/download/mzm.apworld,
naruto_con_2,https://github.com/richarm4/Archipelago/releases/latest/download/naruto_con_2.apworld,
nep_rb3,https://github.com/vegemiiBG/Archipelago-NepRb3/releases/latest/download/nep_rb3.apworld,
nine_sols,https://github.com/Ixrec/NineSolsArchipelagoRandomizer/releases/latest/download/nine_sols.apworld,
no100f,https://github.com/vgm5/Night_Of_100_Frights_ap_world/releases/latest/download/no100f.apworld,
nodebuster,https://github.com/josephwhite/Emerlads-Nodebuster_AP_Mod/releases/latest/download/nodebuster.apworld,
noita-killsanity,https://github.com/madolinn/NoitaArchipelago/releases/latest/download/noita-killsanity.apworld,
nonograhmm,https://github.com/spineraks-org/ArchipelagoNonogram/releases/latest/download/nonograhmm.apworld,
nonopelagram,https://github.com/StefanDucharme/nonogram-archipelago/releases/latest/download/nonopelagram.apworld,
nsmbw,https://github.com/Miiroun/Archipelago-NewSuperMarioBrosWii/releases/latest/download/nsmbw.apworld,
nuclear_throne,https://github.com/GraphiteGraphic/NuclearThroneArchipelago/releases/latest/download/nuclear_throne.apworld,
oblivion,https://github.com/POD-io/Oblivion-ArchipelagoWorld/releases/latest/download/oblivion.apworld,
oni,https://github.com/ShadowKitty42/ONI-Archipelago/releases/latest/download/oni.apworld,
oot,https://github.com/TreZc0/OoTR-APWorld/releases/latest/download/oot.apworld,
oot_soh,https://github.com/HarbourMasters/Archipelago-SoH/releases/latest/download/oot_soh.apworld,
openrct2,https://github.com/Crazycolbster/rollercoaster-tycoon-randomizer/releases/latest/download/openrct2.apworld,
openttd,https://github.com/solida1987/openttd-archipelago/releases/latest/download/openttd.apworld,
openttd_cargolock,https://github.com/kbab13reel/openttd-archipelago/releases/latest/download/openttd_cargolock.apworld,
ori_wotw,https://github.com/Satisha10/APwotw_release/releases/latest/download/ori_wotw.apworld,
oribf,https://github.com/c-ostic/Archipelago/releases/latest/download/oribf.apworld,
osrs,https://github.com/digiholic/Archipelago/releases/latest/download/osrs.apworld,
osu,https://github.com/lilymnky-F/Archipelago-Osu/releases/latest/download/osu.apworld,
